mercadoria_id,quantity,notes,total_paid,mercadoria_name,supplier,unit_cost,entry_date,id,created_date,updated_date,created_by_id,created_by,is_sample
"69f354cc04da3129bbe3a8ed","5","","19.96","Esponja banho ","","3.992","2026-04-30T13:10:55.177Z","69f354df444f494cbc6a5b10","2026-04-30T13:10:55.369000","2026-04-30T13:10:55.369000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69f3548da2fc7d0e74f6e720","2","","37.97","Necessárie","","18.985","2026-04-30T13:10:01.364Z","69f354a927bda3a4040ab65d","2026-04-30T13:10:01.548000","2026-04-30T13:10:01.548000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69ecaf2e927fc495940907e1","6","","100","Hidra 100","","16.666666666666668","2026-04-25T12:10:36.223Z","69ecaf3c8304fa68e4cbbc8c","2026-04-25T12:10:36.745000","2026-04-25T12:10:36.745000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69ebbb4800794e9b919a6c83","5","","39.36","Coração acrílico ","","7.872","2026-04-24T18:49:55.909Z","69ebbb54430618277277c9f4","2026-04-24T18:49:56.123000","2026-04-24T18:49:56.123000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69ebb59bec5926213ff596d1","3","","36","Toalha ","","12","2026-04-24T18:31:55.840Z","69ebb71cb25b2d1a8ac982e9","2026-04-24T18:31:56.135000","2026-04-24T18:31:56.135000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69ebb59bec5926213ff596d1","1","","6","Toalha ","","6","2026-04-24T18:25:41.524Z","69ebb5a5e1ff34e7b59bf0a7","2026-04-24T18:25:41.783000","2026-04-24T18:25:41.783000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69ebab5f7e5b3e8ed83f0fda","1","","18","Cest ","","18","2026-04-24T17:41:59.095Z","69ebab6735dc741d54f670eb","2026-04-24T17:41:59.283000","2026-04-24T17:41:59.283000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69eba88b77baa280ed846f72","10","","30","Balão coração ","","3","2026-04-24T17:29:58.509Z","69eba896ef711e054f983431","2026-04-24T17:29:58.696000","2026-04-24T17:29:58.696000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69eba72dad6c38e866621879","18","","280.44","Xícara amor ","","15.58","2026-04-24T17:26:04.574Z","69eba7ac6cc56f60e58ddf79","2026-04-24T17:26:04.799000","2026-04-24T17:26:04.799000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69dd2a3c7538c942ae8a06e7","20","","77.04","Cesta 13 cm ","","3.8520000000000003","2026-04-24T17:17:06.244Z","69eba592a178891a718e77ec","2026-04-24T17:17:06.464000","2026-04-24T17:17:06.464000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
