mercadoria_id,kit_id,reason,quantity,notes,consumption_date,mercadoria_name,cost_consumed,id,created_date,updated_date,created_by_id,created_by,is_sample
"6978c5523e415b4f70b8307e","","Kit Presente","2","Venda de kit: Kit creme de mão ","2026-05-15T12:36:44.363Z","Fita de cetim ","3.6","6a07135c56e49f367e6c8fd5","2026-05-15T12:36:44.574000","2026-05-15T12:36:44.574000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69655d4259bb478bf3579e1a","","Kit Presente","1","Venda de kit: Kit creme de mão ","2026-05-15T12:36:43.231Z","Caixa 15x15x4","2.8646666666666665","6a07135b107f4fb2af9668d7","2026-05-15T12:36:43.445000","2026-05-15T12:36:43.445000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69654a69d581734a67bae44c","","Kit Presente","1","Venda de kit: Kit creme de mão ","2026-05-15T12:36:42.093Z","Etiqueta para presente ","0.049","6a07135a3ba196d3cc9a8b8c","2026-05-15T12:36:42.316000","2026-05-15T12:36:42.316000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"696546423d5eec31be8fd890","","Kit Presente","1","Venda de kit: Kit creme de mão ","2026-05-15T12:36:41.048Z","Papel de seda 49x69","0.529","6a071359bd7fef029908f92a","2026-05-15T12:36:41.267000","2026-05-15T12:36:41.267000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"698236c35c095b6cd25b046f","","Kit Presente","2","Venda de kit: Kit creme de mão ","2026-05-15T12:36:39.477Z","Fita plástica ","0.754","6a07135742af2ea66c334fee","2026-05-15T12:36:39.677000","2026-05-15T12:36:39.677000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"6989e4be17aa1dac038d3951","","Kit Presente","1","Venda de kit: Kit creme de mão ","2026-05-15T12:36:38.471Z","Creme de mão ","20.78","6a071356a08067082d4a96f5","2026-05-15T12:36:38.688000","2026-05-15T12:36:38.688000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"696546423d5eec31be8fd890","","Kit Presente","9","Venda de kit: Cesta geleia ","2026-05-15T12:35:06.109Z","Papel de seda 49x69","4.761","6a0712fa2a751f10cc061490","2026-05-15T12:35:06.310000","2026-05-15T12:35:06.310000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"69654a69d581734a67bae44c","","Kit Presente","9","Venda de kit: Cesta geleia ","2026-05-15T12:35:04.926Z","Etiqueta para presente ","0.441","6a0712f964f569f7e74f50d6","2026-05-15T12:35:05.302000","2026-05-15T12:35:05.302000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"6980952e026047df3d5cf0f4","","Kit Presente","9","Venda de kit: Cesta geleia ","2026-05-15T12:35:04.019Z","Cesta redonda 13 cm ","35.91","6a0712f81a41df44d2f5b6df","2026-05-15T12:35:04.189000","2026-05-15T12:35:04.189000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
"6980de9f20b8d8c438c4795b","","Kit Presente","9","Venda de kit: Cesta geleia ","2026-05-15T12:35:03.085Z","Sacola transparente ","31.5","6a0712f71cff1de8d43ca1db","2026-05-15T12:35:03.339000","2026-05-15T12:35:03.339000","69a02ff63eb6eaa8b459cf17","marielemodolon24@gmail.com","false"
